primary_category,secondary_category,review_year,review_month,avg_rating,total_reviews,avg_price,pct_recommended
Skincare,Eye Care,2022,7,4.39,2005,60.19,0.89
Skincare,Eye Care,2022,8,4.35,1663,59.74,0.87
Skincare,Eye Care,2022,9,4.49,2145,46.66,0.9
Skincare,Eye Care,2022,10,4.12,1111,53.44,0.86
Skincare,Eye Care,2022,11,4.12,831,51.81,0.84
Skincare,Eye Care,2022,12,4.53,1167,72.39,0.91
Skincare,Eye Care,2023,1,4.2,1352,56.28,0.82
Skincare,Eye Care,2023,2,3.82,1280,44.13,0.72
Skincare,Eye Care,2023,3,4.04,1055,51.44,0.76
Skincare,High Tech Tools,2014,3,5.0,2,439.0,
Skincare,High Tech Tools,2014,4,4.0,2,439.0,
Skincare,High Tech Tools,2014,5,1.0,4,439.0,
Skincare,High Tech Tools,2014,6,5.0,2,439.0,
Skincare,High Tech Tools,2014,11,4.0,2,439.0,
Skincare,High Tech Tools,2014,12,5.0,2,439.0,
Skincare,High Tech Tools,2015,1,4.0,4,439.0,
Skincare,High Tech Tools,2015,2,5.0,3,303.33,
Skincare,High Tech Tools,2015,3,5.0,1,449.0,
Skincare,High Tech Tools,2015,4,5.0,1,65.0,
Skincare,High Tech Tools,2015,5,3.67,6,333.33,
Skincare,High Tech Tools,2015,6,3.25,4,65.0,
Skincare,High Tech Tools,2015,7,3.0,3,54.0,
Skincare,High Tech Tools,2015,8,4.75,16,308.12,
Skincare,High Tech Tools,2015,9,5.0,3,449.0,
Skincare,High Tech Tools,2015,10,5.0,1,449.0,
Skincare,High Tech Tools,2015,11,3.94,16,375.25,
Skincare,High Tech Tools,2015,12,4.06,17,317.53,
Skincare,High Tech Tools,2016,1,3.67,6,343.33,
Skincare,High Tech Tools,2016,2,4.67,9,301.22,
Skincare,High Tech Tools,2016,3,5.0,4,314.0,
Skincare,High Tech Tools,2016,4,4.0,7,385.57,
Skincare,High Tech Tools,2016,5,3.82,11,329.91,
Skincare,High Tech Tools,2016,6,2.75,12,423.17,
Skincare,High Tech Tools,2016,7,3.33,3,237.67,
Skincare,High Tech Tools,2016,8,3.45,11,343.55,
Skincare,High Tech Tools,2016,9,4.25,4,135.5,
Skincare,High Tech Tools,2016,10,4.6,5,206.2,
Skincare,High Tech Tools,2016,11,4.14,7,200.43,
Skincare,High Tech Tools,2016,12,4.83,12,128.83,
Skincare,High Tech Tools,2017,1,4.5,32,74.94,
Skincare,High Tech Tools,2017,2,3.63,38,65.42,
Skincare,High Tech Tools,2017,3,4.65,17,60.18,
Skincare,High Tech Tools,2017,4,4.1,20,97.1,
Skincare,High Tech Tools,2017,5,3.7,10,140.6,
Skincare,High Tech Tools,2017,6,4.89,9,54.78,
Skincare,High Tech Tools,2017,7,3.79,14,67.71,
Skincare,High Tech Tools,2017,8,3.94,17,101.94,1.0
Skincare,High Tech Tools,2017,9,4.52,25,148.2,0.96
Skincare,High Tech Tools,2017,10,3.89,9,74.11,0.67
Skincare,High Tech Tools,2017,11,4.13,15,123.53,0.87
Skincare,High Tech Tools,2017,12,4.41,22,167.73,0.86
Skincare,High Tech Tools,2018,1,4.38,29,52.72,0.9
Skincare,High Tech Tools,2018,2,4.35,31,194.68,0.87
Skincare,High Tech Tools,2018,3,4.52,29,219.17,0.93
Skincare,High Tech Tools,2018,4,3.57,21,134.76,0.67
Skincare,High Tech Tools,2018,5,4.46,28,88.93,0.86
Skincare,High Tech Tools,2018,6,4.07,29,160.59,0.79
Skincare,High Tech Tools,2018,7,4.08,83,115.61,0.8
Skincare,High Tech Tools,2018,8,4.39,92,145.35,0.87
Skincare,High Tech Tools,2018,9,4.2,56,123.41,0.82
Skincare,High Tech Tools,2018,10,3.82,34,123.65,0.68
Skincare,High Tech Tools,2018,11,4.0,40,116.22,0.7
Skincare,High Tech Tools,2018,12,4.19,26,53.88,0.77
Skincare,High Tech Tools,2019,1,4.23,56,106.73,0.8
Skincare,High Tech Tools,2019,2,3.91,44,107.98,0.7
Skincare,High Tech Tools,2019,3,3.79,33,96.06,0.67
Skincare,High Tech Tools,2019,4,3.94,34,130.85,0.71
Skincare,High Tech Tools,2019,5,4.12,32,113.28,0.81
Skincare,High Tech Tools,2019,6,3.69,36,90.69,0.72
Skincare,High Tech Tools,2019,7,4.15,26,97.85,0.77
Skincare,High Tech Tools,2019,8,3.5,42,106.86,0.6
Skincare,High Tech Tools,2019,9,4.45,33,66.61,0.88
Skincare,High Tech Tools,2019,10,3.17,23,127.65,0.57
Skincare,High Tech Tools,2019,11,3.74,50,169.82,0.68
Skincare,High Tech Tools,2019,12,3.92,53,104.08,0.7
Skincare,High Tech Tools,2020,1,3.23,39,107.26,0.51
Skincare,High Tech Tools,2020,2,3.52,40,127.05,0.65
Skincare,High Tech Tools,2020,3,3.39,46,143.43,0.61
Skincare,High Tech Tools,2020,4,3.69,98,141.79,0.65
Skincare,High Tech Tools,2020,5,4.03,110,197.37,0.79
Skincare,High Tech Tools,2020,6,3.88,65,122.54,0.71
Skincare,High Tech Tools,2020,7,3.34,76,149.05,0.57
Skincare,High Tech Tools,2020,8,3.82,89,124.53,0.69
